district,week,y_true,horizon,model,yhat
022,2020-09-07,130.0,1,xgboost,150.617919921875
022,2020-09-14,150.0,1,seasonal_naive,159.0
022,2020-09-14,150.0,1,sarima,142.1158750620611
022,2020-09-14,150.0,1,prophet,133.28106605611976
022,2020-09-14,150.0,1,xgboost,150.77392578125
022,2020-09-21,133.0,1,seasonal_naive,165.0
022,2020-09-21,133.0,1,sarima,135.50605634634636
022,2020-09-21,133.0,1,prophet,133.28106605611976
022,2020-09-21,133.0,1,xgboost,154.63616943359375
022,2020-09-28,132.0,1,seasonal_naive,167.0
022,2020-09-28,132.0,1,sarima,141.0951064629346
022,2020-09-28,132.0,1,prophet,133.8050117410085
022,2020-09-28,132.0,1,xgboost,155.7937774658203
022,2020-10-05,146.0,1,seasonal_naive,161.0
022,2020-10-05,146.0,1,sarima,127.26591704761356
022,2020-10-05,146.0,1,prophet,133.8050117410085
022,2020-10-05,146.0,1,xgboost,154.05596923828125
022,2020-10-12,161.0,1,seasonal_naive,173.0
022,2020-10-12,161.0,1,sarima,148.0957592706108
022,2020-10-12,161.0,1,prophet,134.25010222118505
022,2020-10-12,161.0,1,xgboost,157.30795288085938
022,2020-10-19,157.0,1,seasonal_naive,151.0
022,2020-10-19,157.0,1,sarima,142.8358310083858
022,2020-10-19,157.0,1,prophet,134.25010222118505
022,2020-10-19,157.0,1,xgboost,164.69879150390625
022,2020-10-26,179.0,1,seasonal_naive,146.0
022,2020-10-26,179.0,1,sarima,138.0756667184783
022,2020-10-26,179.0,1,prophet,130.7158939551063
022,2020-10-26,179.0,1,xgboost,150.1392059326172
022,2020-11-02,155.0,1,seasonal_naive,139.0
022,2020-11-02,155.0,1,sarima,134.43624818983645
022,2020-11-02,155.0,1,prophet,130.7158939551063
022,2020-11-02,155.0,1,xgboost,157.88668823242188
022,2020-11-09,122.0,1,seasonal_naive,162.0
022,2020-11-09,122.0,1,sarima,161.7342908144937
022,2020-11-09,122.0,1,prophet,124.32653745408837
022,2020-11-09,122.0,1,xgboost,156.2239990234375
022,2020-11-16,126.0,1,seasonal_naive,147.0
022,2020-11-16,126.0,1,sarima,140.20084907423944
022,2020-11-16,126.0,1,prophet,124.32653745408837
022,2020-11-16,126.0,1,xgboost,139.22496032714844
022,2020-11-23,156.0,1,seasonal_naive,172.0
022,2020-11-23,156.0,1,sarima,152.02819640901996
022,2020-11-23,156.0,1,prophet,114.00075147935524
022,2020-11-23,156.0,1,xgboost,145.7781219482422
022,2020-11-30,136.0,1,seasonal_naive,150.0
022,2020-11-30,136.0,1,sarima,147.56177994245652
022,2020-11-30,136.0,1,prophet,114.00075147935524
022,2020-11-30,136.0,1,xgboost,141.8474578857422
022,2020-12-07,146.0,1,seasonal_naive,150.0
022,2020-12-07,146.0,1,sarima,146.66774292615102
