name,horizon,split,n,MAE,RMSE,MAPE,SMAPE,MASE
seasonal_naive,8,test,3432,41.23921911421911,55.10466572032884,23.12246148168436,21.21317523642939,1.5337184918676683
seasonal_naive,8,val,1144,23.72902097902098,30.504843132615097,11.109735072803694,10.695234098167267,0.9210142228230982
seasonal_naive,12,test,3432,40.72785547785548,54.4461143758613,22.642391068486344,20.943274351689155,1.5185210264284075
seasonal_naive,12,val,1144,25.64597902097902,34.078875498536554,12.646835717256137,11.735469418938163,0.9830081958710349
static_inverse_rmse,1,test,3432,21.08304470708066,29.437205922923887,12.163992748986956,11.311935196725189,0.808846437360037
static_inverse_rmse,1,val,1144,17.843652051443478,23.620415090741712,8.412715234325299,8.128986332781942,0.68719432118953
static_inverse_rmse,4,test,3432,24.541199337494444,34.422976308922635,14.34141832733921,12.95044239555072,0.935155947148064
static_inverse_rmse,4,val,1144,17.52956734345089,23.241906965265414,8.125521396585405,7.918880501713374,0.6753881089021125
static_inverse_rmse,8,test,3432,27.084218737789744,38.051194510415655,15.90076480203842,14.112423028570909,1.027577355700433
static_inverse_rmse,8,val,1144,18.129127115938946,23.918759763776823,8.447892748993938,8.189667750686688,0.6981441045848708
static_inverse_rmse,12,test,3432,28.07970031804079,39.32454704091323,16.249329097828376,14.439984784428006,1.0619260675040698
static_inverse_rmse,12,val,1144,20.117600440236885,28.131323793884206,10.088999787075934,9.323799183691426,0.7679041595947428
xgboost,1,test,3432,22.567596177676897,31.122332263361052,13.471377701981293,12.235983873169673,0.8708298391145899
xgboost,1,val,1144,18.784823597727957,25.17382282369916,8.776010127167803,8.487423940442387,0.7194929759955127
xgboost,4,test,3432,26.529111704348406,36.422389868167556,15.875403612929032,14.046339764835336,1.0151731806364894
xgboost,4,val,1144,18.27059910514138,24.155009522361617,8.485239875585279,8.276591982251981,0.7052694756335486
xgboost,8,test,3432,29.67566170281186,40.37655395163004,17.83854362261391,15.454399652934628,1.1270903488135244
xgboost,8,val,1144,18.83818210255016,25.193875309005325,8.675960354766003,8.418246463437821,0.722670343459411
xgboost,12,test,3432,31.496916388576125,42.691674448591655,18.636086952913367,16.031023319139198,1.1854690362834692
