name,horizon,split,n,MAE,RMSE,MAPE,SMAPE,MASE
sarima,1,test,3916,19.97519646968206,26.27740149308341,9.700168416109225,9.543293925882782,0.7052378570021616
sarima,1,val,2288,21.015118130735633,28.07857454187774,11.021918679460159,11.18063775066533,0.7316017497830931
sarima,4,test,3850,20.747634592384358,27.253963128548413,10.091900380345455,9.879113447289377,0.7306001388362443
sarima,4,val,2288,23.663722953126516,31.38910604317195,12.262040387010748,12.735108598101656,0.819662188509075
sarima,8,test,3762,21.66088812533441,28.354920111314794,10.564524555589438,10.301311824435993,0.7625540872368631
sarima,8,val,2288,26.101856007208703,34.53224263127338,13.259672978591821,14.167807355105175,0.9010349712576786
sarima,12,test,3674,21.997625340649346,28.842033973791587,10.783984549882163,10.454082460322901,0.7765048468912251
sarima,12,val,2288,27.792407616755465,36.71562760003617,13.861596772155865,15.006207549114603,0.9530868311326369
seasonal_naive,1,test,3916,27.002042900919307,35.10628834130954,13.112791080986993,12.803701647077704,0.9519141401806983
seasonal_naive,1,val,2288,35.09090909090909,46.19705436678655,18.08592257856354,18.721021955460532,1.1699647961786392
seasonal_naive,4,test,3850,26.56987012987013,34.57565392231714,12.93272064772782,12.555205828325272,0.93690505167041
seasonal_naive,4,val,2288,35.21066433566433,46.097523180282074,17.816925834554915,18.751384242877684,1.1784148550567695
seasonal_naive,8,test,3762,26.327219564061668,34.35009500879492,12.825412383900245,12.393026296168427,0.9282585952972603
seasonal_naive,8,val,2288,34.64248251748252,45.22868272743239,17.02267708739437,18.35639196830027,1.165609019364339
seasonal_naive,12,test,3674,26.31899836690256,34.39409438996504,12.82995780954784,12.359620631143708,0.9271242848574824
seasonal_naive,12,val,2288,34.69361888111888,45.17755859604745,16.884951663060843,18.301456056842795,1.171659920450834
static_inverse_rmse,1,test,3916,17.340752485452942,22.40117600284122,8.448158086171105,8.260337934200333,0.6096100360946526
static_inverse_rmse,1,val,2288,17.80092504900047,25.239306712678854,9.298182331229487,9.242550940256876,0.6196769754296491
static_inverse_rmse,4,test,3850,18.181274042503016,23.549858321721267,8.845992995165505,8.635870358957758,0.635933075959387
static_inverse_rmse,4,val,2288,20.040067512858915,27.728615690640158,10.221179889743327,10.30768582274547,0.6923719154018232
static_inverse_rmse,8,test,3762,18.820364139313078,24.35810473552892,9.171646174273306,8.951455967937585,0.6584837248704213
static_inverse_rmse,8,val,2288,21.954900946504086,30.16613935386098,10.874638022520465,11.250208667866387,0.7578271436047351
static_inverse_rmse,12,test,3674,19.21113405725737,24.884224502144544,9.39693704316909,9.118138201272854,0.6745783658514874
static_inverse_rmse,12,val,2288,23.261488831580667,31.855436807797542,11.31791707016149,11.762436831178315,0.7994997894643624
xgboost,1,test,3916,18.0652439499291,23.14792611833747,8.837619048439658,8.622918460811754,0.6369937082197075
xgboost,1,val,2288,18.80095326150214,26.866140284450896,9.950960324422322,9.733957042605843,0.6517735472562309
xgboost,4,test,3850,20.262437373570034,25.947633804330913,9.867619135628775,9.58555411295666,0.7049476826999267
xgboost,4,val,2288,21.92106243780443,30.78285986272446,11.362804591405101,11.346035097262758,0.7494389867867269
xgboost,8,test,3762,21.3591281479182,27.520527519580675,10.339305420967321,10.10838940503759,0.7434785845951898
xgboost,8,val,2288,22.420035352240074,31.545085508453294,11.394288298352492,11.415850530162091,0.7638478160891021
xgboost,12,test,3674,22.040384181504933,28.655642164983323,10.670781163030139,10.421203499766625,0.7683736322764717
xgboost,12,val,2288,22.718326765340525,31.613743072752023,11.538394275364338,11.349089332465306,0.7784031025451911
