primary_type,week,count
ASSAULT,2006-10-09,405
ASSAULT,2006-10-16,477
ASSAULT,2006-10-23,489
ASSAULT,2006-10-30,468
ASSAULT,2006-11-06,478
ASSAULT,2006-11-13,411
ASSAULT,2006-11-20,436
ASSAULT,2006-11-27,447
ASSAULT,2006-12-04,404
ASSAULT,2006-12-11,512
ASSAULT,2006-12-18,472
ASSAULT,2006-12-25,369
ASSAULT,2007-01-01,359
ASSAULT,2007-01-08,433
ASSAULT,2007-01-15,381
ASSAULT,2007-01-22,376
ASSAULT,2007-01-29,370
ASSAULT,2007-02-05,364
ASSAULT,2007-02-12,373
ASSAULT,2007-02-19,433
ASSAULT,2007-02-26,435
ASSAULT,2007-03-05,471
ASSAULT,2007-03-12,547
ASSAULT,2007-03-19,547
ASSAULT,2007-03-26,551
ASSAULT,2007-04-02,381
ASSAULT,2007-04-09,493
ASSAULT,2007-04-16,569
ASSAULT,2007-04-23,542
ASSAULT,2007-04-30,586
ASSAULT,2007-05-07,636
ASSAULT,2007-05-14,625
ASSAULT,2007-05-21,607
ASSAULT,2007-05-28,612
ASSAULT,2007-06-04,580
ASSAULT,2007-06-11,566
ASSAULT,2007-06-18,581
ASSAULT,2007-06-25,538
ASSAULT,2007-07-02,621
ASSAULT,2007-07-09,549
ASSAULT,2007-07-16,560
ASSAULT,2007-07-23,570
ASSAULT,2007-07-30,598
ASSAULT,2007-08-06,533
ASSAULT,2007-08-13,502
ASSAULT,2007-08-20,521
ASSAULT,2007-08-27,550
ASSAULT,2007-09-03,570
ASSAULT,2007-09-10,536
ASSAULT,2007-09-17,608
ASSAULT,2007-09-24,575
ASSAULT,2007-10-01,584
ASSAULT,2007-10-08,521
ASSAULT,2007-10-15,562
ASSAULT,2007-10-22,511
ASSAULT,2007-10-29,534
ASSAULT,2007-11-05,446
ASSAULT,2007-11-12,424
ASSAULT,2007-11-19,396
ASSAULT,2007-11-26,429
ASSAULT,2007-12-03,390
ASSAULT,2007-12-10,443
ASSAULT,2007-12-17,409
ASSAULT,2007-12-24,364
ASSAULT,2007-12-31,363
ASSAULT,2008-01-07,435
ASSAULT,2008-01-14,420
ASSAULT,2008-01-21,363
ASSAULT,2008-01-28,404
ASSAULT,2008-02-04,410
ASSAULT,2008-02-11,397
ASSAULT,2008-02-18,424
ASSAULT,2008-02-25,472
ASSAULT,2008-03-03,447
ASSAULT,2008-03-10,521
ASSAULT,2008-03-17,371
ASSAULT,2008-03-24,513
ASSAULT,2008-03-31,607
ASSAULT,2008-04-07,479
ASSAULT,2008-04-14,580
ASSAULT,2008-04-21,602
ASSAULT,2008-04-28,578
ASSAULT,2008-05-05,596
ASSAULT,2008-05-12,585
ASSAULT,2008-05-19,532
ASSAULT,2008-05-26,559
ASSAULT,2008-06-02,598
ASSAULT,2008-06-09,604
ASSAULT,2008-06-16,554
ASSAULT,2008-06-23,516
ASSAULT,2008-06-30,526
ASSAULT,2008-07-07,557
ASSAULT,2008-07-14,535
ASSAULT,2008-07-21,578
ASSAULT,2008-07-28,540
ASSAULT,2008-08-04,534
ASSAULT,2008-08-11,509
ASSAULT,2008-08-18,557
ASSAULT,2008-08-25,561
ASSAULT,2008-09-01,543
ASSAULT,2008-09-08,470
ASSAULT,2008-09-15,581
ASSAULT,2008-09-22,537
ASSAULT,2008-09-29,488
ASSAULT,2008-10-06,519
ASSAULT,2008-10-13,490
ASSAULT,2008-10-20,432
ASSAULT,2008-10-27,473
ASSAULT,2008-11-03,460
ASSAULT,2008-11-10,391
ASSAULT,2008-11-17,392
ASSAULT,2008-11-24,365
ASSAULT,2008-12-01,392
ASSAULT,2008-12-08,354
ASSAULT,2008-12-15,352
ASSAULT,2008-12-22,296
ASSAULT,2008-12-29,350
ASSAULT,2009-01-05,384
ASSAULT,2009-01-12,362
ASSAULT,2009-01-19,368
ASSAULT,2009-01-26,404
ASSAULT,2009-02-02,393
ASSAULT,2009-02-09,432
ASSAULT,2009-02-16,388
ASSAULT,2009-02-23,436
ASSAULT,2009-03-02,425
ASSAULT,2009-03-09,480
ASSAULT,2009-03-16,549
ASSAULT,2009-03-23,439
ASSAULT,2009-03-30,460
ASSAULT,2009-04-06,405
ASSAULT,2009-04-13,482
ASSAULT,2009-04-20,533
ASSAULT,2009-04-27,477
ASSAULT,2009-05-04,543
ASSAULT,2009-05-11,482
ASSAULT,2009-05-18,534
ASSAULT,2009-05-25,477
ASSAULT,2009-06-01,499
ASSAULT,2009-06-08,456
ASSAULT,2009-06-15,485
ASSAULT,2009-06-22,526
ASSAULT,2009-06-29,463
ASSAULT,2009-07-06,465
ASSAULT,2009-07-13,486
ASSAULT,2009-07-20,477
ASSAULT,2009-07-27,478
ASSAULT,2009-08-03,445
ASSAULT,2009-08-10,540
ASSAULT,2009-08-17,473
ASSAULT,2009-08-24,417
ASSAULT,2009-08-31,427
ASSAULT,2009-09-07,485
ASSAULT,2009-09-14,475
ASSAULT,2009-09-21,502
ASSAULT,2009-09-28,420
ASSAULT,2009-10-05,410
ASSAULT,2009-10-12,348
ASSAULT,2009-10-19,449
ASSAULT,2009-10-26,415
ASSAULT,2009-11-02,420
ASSAULT,2009-11-09,408
ASSAULT,2009-11-16,382
ASSAULT,2009-11-23,336
ASSAULT,2009-11-30,391
ASSAULT,2009-12-07,332
ASSAULT,2009-12-14,327
ASSAULT,2009-12-21,266
ASSAULT,2009-12-28,323
ASSAULT,2010-01-04,330
ASSAULT,2010-01-11,376
ASSAULT,2010-01-18,378
ASSAULT,2010-01-25,272
ASSAULT,2010-02-01,348
ASSAULT,2010-02-08,339
ASSAULT,2010-02-15,353
ASSAULT,2010-02-22,395
ASSAULT,2010-03-01,408
ASSAULT,2010-03-08,484
ASSAULT,2010-03-15,416
ASSAULT,2010-03-22,407
ASSAULT,2010-03-29,455
ASSAULT,2010-04-05,457
ASSAULT,2010-04-12,490
ASSAULT,2010-04-19,425
ASSAULT,2010-04-26,447
ASSAULT,2010-05-03,445
